"Same Frame","Zelfde frame"
"New Window","Nieuw venster"
Top,Boven
Bottom,Onder
"Field must have length of 6","Veld moet ee lengte hebben van 6"
"Cookie Notification","Cookie Notification"
"Functional Settings","Functionele instellingen"
"Enable Module","Module aanzetten"
"Enable / disable module","In en uitschakelen"
"Cookie Lifetime","Cookie Lifetime"
"Default value is 3600","STandaard waarde is; 3600"
"Cookie Path","Cookie Path"
"Cookie Domain","Cookie Domain"
"Design Settings","Opmaak instellingen"
"Message Position","Bericht positie"
"Where the cookie message should appear","Waar de melding moet komen"
Message,Bericht
"Message Text Color","Tekst kleur"
"Cookie Allow Button Text","Tekst in de knop"
"Cookie Allow Button Text Color","Knop tekst kleur"
"Cookie Allow Button Background Color","Knop achtergrond kleur"
